Item,Cost,Cost USD,TAX,Final Cost,Link
LIPO,CA$15.99,$11.67,$1.52,$13.19,https://www.amazon.ca/EEMB-402535-Rechargeable-Connector-Certified/dp/B08215N9R8/
LIPO shipping,CA$5.49,$4.01,$0.52,$4.53,
SCREEN,US$18.99,$18.99,$2.47,$21.46,https://www.waveshare.com/1.28inch-Touch-LCD.htm
LCD shipping,US$5.00,$5.00,$0.65,$5.65,
M2x0.4 8mm Screw,US$2.89,$2.89,$0.38,$3.27,https://www.aliexpress.com/item/32981974171.html?spm=a2g0o.productlist.main.8.6c5520fbtPLu19&aem_p4p_detail=202507231534353474550606704800001955485&algo_pvid=104947c8-6b44-4ead-b5ae-a5f9b5530196&algo_exp_id=104947c8-6b44-4ead-b5ae-a5f9b5530196-7&pdp_ext_f=%7B%22order%22%3A%221146%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21CAD%212.89%212.89%21%21%212.08%212.08%21%40210308a417533100750912663e0282%2112000034512199935%21sea%21CA%210%21ABX&curPageLogUid=OmoLlO0bQPwf&utparam-url=scene%3Asearch%7Cquery_from%3A&search_p4p_id=202507231534353474550606704800001955485_2
PCB3,US$46.95,$46.95,,$46.95,jlcpcb.com
PCB2,US$64.91,$64.91,,$64.91,jlcpcb.com
PCB1,US$60.74,$60.74,,$60.74,jlcpcb.com
LCSC components,US$15.94,$15.94,$2.07,$18.01,https://lcsc.com
Epoxy,US$5.86,$5.86,$0.76,$6.62,https://www.aliexpress.com/item/1005007857054773.html?spm=a2g0o.productlist.main.1.5da7Pqf6Pqf6xD&algo_pvid=ccfd2359-4cb8-4eec-bf5b-0dc00f3fc800&algo_exp_id=ccfd2359-4cb8-4eec-bf5b-0dc00f3fc800-0&pdp_ext_f=%7B%22order%22%3A%222812%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005007857054773%22%2C%22orig_item_id%22%3A%221005007338773980%22%7D&pdp_npi=4%40dis%21USD%2111.72%215.86%21%21%2183.66%2141.83%21%40210330dd17538985152395689ec075%2112000042560560057%21sea%21CA%216430424242%21ABX&curPageLogUid=rgmscnr2dVbn&utparam-url=scene%3Asearch%7Cquery_from%3A
Watch Band,US$5.90,$5.90,$0.77,$6.67,https://www.aliexpress.com/item/1005008177355443.html?spm=a2g0o.productlist.main.21.35797Ghq7GhqCY&algo_pvid=b23fa474-70fb-44bb-bd31-b4af669fd73e&algo_exp_id=b23fa474-70fb-44bb-bd31-b4af669fd73e-20&pdp_ext_f=%7B%22order%22%3A%223452%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21CAD%218.22%211.61%21%21%2142.13%218.24%21%402101d9ee17536489271087105e9a48%2112000044120046245%21sea%21CA%216430424242%21ABX&curPageLogUid=Hv4iKs0BUxpf&utparam-url=scene%3Asearch%7Cquery_from%3A
Watch Band Shipping,US$2.09,$2.09,$0.27,$2.36,
,total:,$244.95,$31.84,$276.79,